ID PINTURA;CÓDIGO;ARTISTA;TÍTULO;SERIE;PRECIO;DISPONIBLE;AÑO;TÉCNICA;DIMENSIONES;LOCALIZACION / UBICACIÓN;ENMARCADO;AUTENTICADO;DESCRIPCIÓN / OBSERVACIONES;FOTO
286;286;Miguel Pons Tous;Los Pozos Verdes - Cerro - Córdoba;;0;VERDADERO;1976;Óleo en cartón;27,5x37;;FALSO;FALSO;;1
287;287;Miguel Pons Tous;La Burrera;;0;VERDADERO;1977;Óleo en cartón;27,5x37;;FALSO;FALSO;;1
288;288;Miguel Pons Tous;Hipólito - Capilla del Monte;;0;VERDADERO;1977;Óleo en cartón;27,5x37;;FALSO;FALSO;;1
289;289;Miguel Pons Tous;Marysol en el cajón del Río - Capilla del Monte;;0;VERDADERO;1978;Óleo en cartón;27,5x37;;FALSO;FALSO;;1
290;290;Miguel Pons Tous;Joven india - Capilla del Monte;;0;VERDADERO;1977;Óleo en cartón;27,5x37;;FALSO;FALSO;;1
291;291;Miguel Pons Tous;Canasta, Jarra y Flores;;0;VERDADERO;1976;Óleo en cartón;35x44;;FALSO;FALSO;;1
292;292;Miguel Pons Tous;Doña Damiana;;0;VERDADERO;1980;Óleo en cartón;35x44;;FALSO;FALSO;;1
293;293;Miguel Pons Tous;Campito - Córdoba;;0;VERDADERO;1980;Óleo en cartón entelado;27x35;;FALSO;FALSO;;1
294;294;Miguel Pons Tous;Río de Capilla del Monte;Capilla del Monte;0;VERDADERO;1977;Óleo en cartón;35x45;;FALSO;FALSO;;1
295;295;Miguel Pons Tous;Materiales de trabajo;;0;VERDADERO;1976;Óleo en cartón;28x35;;FALSO;FALSO;;1
296;296;Miguel Pons Tous;Flores;;0;VERDADERO;1977;Óleo en cartón;28x38;;FALSO;FALSO;;1
297;297;Miguel Pons Tous;Puerto de Palma de Mallorca;;0;VERDADERO;1976;Óleo en cartón;21x28;;FALSO;FALSO;;1
298;298;Miguel Pons Tous;"Rancho de ""La Pelada"" - Capilla del Monte";Capilla del Monte;0;VERDADERO;1976;Óleo en cartón;30x42;;FALSO;FALSO;;1
299;299;Miguel Pons Tous;"Rancho de ""La Pelada"" 2 - Capilla del Monte";Capilla del Monte;0;VERDADERO;1976;Óleo en cartón;27,5x32;;FALSO;FALSO;;1
300;300;Miguel Pons Tous;Rancho - Capilla del Monte;Capilla del Monte;0;VERDADERO;1976;Óleo en cartón;31,5x41;;FALSO;FALSO;;1
301;301;Miguel Pons Tous;"Rancho de ""La Pelada"" 3 - Capilla del Monte";Capilla del Monte;0;VERDADERO;1976;Óleo en cartón;34x41;;FALSO;FALSO;Algo deteriorado en el lateral superior;1
302;302;Miguel Pons Tous;Flores;;0;VERDADERO;1979;Óleo en cartón;34x45;;FALSO;FALSO;;1
303;303;Miguel Pons Tous;Rostro de dama;;0;VERDADERO;1977;Óleo en cartón;35x45;;FALSO;FALSO;La obra 304 está realizada en el reverso;1
304;304;Miguel Pons Tous;Dama Mallorquina;;0;VERDADERO;1977;Óleo en cartón;35x45;;FALSO;FALSO;La obra 303 está realizada en el reverso;1
305;305;Miguel Pons Tous;Rancho fondo Cerro Uritorco - Capilla del Monte;Capilla del Monte;0;VERDADERO;1976;Óleo en cartón;31x40;;FALSO;FALSO;;1
306;306;Miguel Pons Tous;Algarroba de Águila Blanca fondo Uritorco - Capilla del Monte;Capilla del Monte;0;VERDADERO;1976;Óleo en cartón;28x38;;FALSO;FALSO;;1
307;307;Miguel Pons Tous;Camino a la Toma - Capilla del Monte;Capilla del Monte;0;VERDADERO;1976;Óleo en cartón;28x38;;FALSO;FALSO;;1
